result
OVS
OOVS
OOOVS
OSVS
OOSVS
OSSVS
SSVS
SVS
OVSS
OOVSS
OOOVSS
OSVSS
OOSVSS
OSSVSS
SSVSS
SVSS
OVSO
OOVSO
OOOVSO
OSVSO
OOSVSO
OSSVSO
SSVSO
SVSO
OVSSO
OOVSSO
OOOVSSO
OSVSSO
OOSVSSO
OSSVSSO
SSVSSO
SVSSO
OVSOO
OOVSOO
OOOVSOO
OSVSOO
OOSVSOO
OSSVSOO
SSVSOO
SVSOO
OVOOO
OOVOOO
OOOVOOO
OSVOOO
OOSVOOO
OSSVOOO
SSVOOO
SVOOO
OVOO
OOVOO
OOOVOO
OSVOO
OOSVOO
OSSVOO
SSVOO
SVOO
OVO
OOVO
OOOVO
OSVO
OOSVO
OSSVO
SSVO
SVO
