INITIALS_wos	frequency
tʃ-k-R-t-n	2
ʃ-t-R-b-l	2
R-t-l	2
v-k-R-v	2
z-b-R-b	2
k-R-ts	2
s-t-j	2
R-m-ʒ	2
b-R-ʃ-l	2
s-k-R-ts-n	2
k-R-b-l	2
R-z	2
R-tʃ-k	2
s-R-s-k	2
b-R-s-t	2
v-dz	2
ʒ-ɡ	2
p-R-tʃ-k	2
ts-v-R-tʃ	2
s-m-R-m	2
k-R-ʃ-n	2
ʒ-v	2
tʃ-k-R-t-k	2
s-v-R-z-n	2
dʒ-R-dʒ-n	2
b-R-tʃ	2
m-R-d-n	2
v-R-t-l	2
s-t-R-tʃ-n	2
f-R-ts-k	2
k-R-v-j	2
z-d-l	2
z-ɡ-R-v	2
v-R-tʃ-k	2
v-R-s-n	2
t-R-n-l	2
d-R-z-n	2
ts-R-p-k	2
dʒ-R-dʒ	2
b-lj	2
s-t-R-n	2
tʃ-v-R-tʃ	2
z-b-R-l	2
ts-v-R-ts-k	2
m-R-ɡ-l	2
s-ts-R-k	2
t-R-b	2
z-ɡ-R-b	2
b-R-m-tʃ	2
R-d	2
p-R-s	2
f-R-b	2
tʃ-k-R-b	2
R-m-b	2
s-k-R-ts-k	2
s-t-R-p	2
s-v-R-ʒ	2
z-ɡ-R-tʃ	2
s-R-n	2
dʒ-ɡ-r	2
ts-R-n-tʃ	2
ts-R-p-n	2
k-R-m-n	2
v-b-r	2
z-ɡ-R-m	2
R-tʃ	2
x-m	2
f-R-f	2
k-R-s-n	2
ʃ-k-R-b	2
t-R-k-n	2
k-R-ʃ-l	2
d-R-s-l	2
ts-R-v-j	2
v-R-k	2
ts-R-v-l	2
v-d-R-v	2
tʃ-R-tʃ	2
s-R-k	2
z-ɟ	1
s-m-R-k	1
s-t-R-p-n	1
z-ɡ-R-l	1
z-ɡ-R-s-t	1
d-R-n-k	1
z-b-R-d-n	1
v-R-s-t	1
v-t-k	1
t-R-m-k	1
v-d-r	1
s-t-R-ʃ	1
p-R-ts-l	1
s-p-R-l-n	1
k-R-tʃ-k	1
s-p-R-l	1
ʃ-t-R-ts-n	1
p-R-ts	1
k-s-m	1
ɡ-R-l-n	1
d-R-p-k	1
ɡ-R-p-k	1
t-R-n-tʃ	1
b-R-b-n	1
m-R-z-n	1
s-R-nj	1
t-R-p-k	1
t-R-nj	1
p-R-d-n	1
s-k-R-ts	1
R-s-l	1
k-R-b	1
s-k-R-t	1
ʒ-m-R-k	1
nj	1
s-p-R-s-n	1
d-R-s-n	1
p-R-s-n	1
R-m-p	1
v-k-R-s-n	1
d-R-v-n	1
v-ts	1
v-R-v-l	1
z-d-R-m	1
k-R-p-tʃ	1
s-m-R-tʃ-k	1
z-ɡ-R-d	1
k-R-d-n	1
R-tʃ-p	1
s-k-R-s-n	1
v-t-v-R-d-n	1
k-R-k-l	1
k-t	1
z-b-R-tʃ	1
R-ʒ-l	1
m-R-ts	1
p-R-ɡ	1
s-R-n-d	1
ɡ-R-tʃ-k	1
t-R-n-k	1
ʒ-ɡ-r	1
v-R-v-tʃ	1
ts-R-p-tʃ	1
k-R-ɡ	1
ɡ-R-ɡ-n	1
ɡ-R-k-n	1
v-R-t-n	1
k-R-k-n	1
m-R-k-n	1
s-k-R-ts-l	1
s-v-R-ɡ	1
R-s	1
p-R-ʃ	1
d-R-p-n	1
v-R-ʃ-n	1
k-R-dʒ	1
tʃ-k-R-k	1
p-R-k-n	1
b-R-m-n	1
z-R-n-ts	1
v-t-R-tʃ-n	1
b-R-ts-n	1
k-R-ts-n	1
ʃ-t-R-tʃ	1
f-R-ts-n	1
t-m	1
dz-v-R-ts-n	1
p-R-n	1
f-lj	1
v-ʃ-m	1
p-R-p-n	1
m-R-m-k	1
s-v-R-d	1
z-b-R-ts	1
d-R-z	1
R-b-l	1
m-R-t-k	1
ts-R-ts-n	1
p-R-tʃ-l	1
ɡ-R-k-l	1
p-R-v-n	1
v-ɟ	1
z-ɡ-R-n	1
d-R-m-k	1
ɡ-nj	1
d-R-ʃ-k	1
d-R-m-l	1
v-R-z-m	1
b-R-z-n	1
dʒ-v-R-k-l	1
ʒ-d	1
ʃ-t-R-k-tʃ	1
s-k-R-ʒ-l	1
R-ʒ-n	1
k-R-tʃ	1
ts-R-n-ɡ	1
ɡ-R-b-n	1
k-R-z	1
d-R-tʃ-n	1
z-ɡ-m	1
b-R-ts-k	1
ʃ-R-b	1
f-j	1
s-c	1
s-R-n-tʃ	1
v-b	1
ɡ-R-k	1
ts-R-v-tʃ	1
b-R-z-ɡ	1
ts-v-R-ts	1
m-R-ts-n	1
k-R-k-m	1
k-R-ʃ-j	1
ɡ-v	1
z-b-R-m-tʃ	1
v-R-v-ts	1
k-R-ts-l	1
m-R-tʃ-k	1
R-ʒ-ts	1
b-R-m-k	1
v-R-v-k	1
R-n-k	1
t-R-s-k	1
d-R-d-l	1
R-p-n	1
v-R-tʃ-v	1
t-R-t-k	1
x-R-v	1
s-R-tʃ-k	1
s-v-R-s-k	1
p-R-ʃ-k	1
f-R-t	1
s-R-d-l	1
m-R-ʃ-t	1
ʃ-v-R-ɡ	1
d-R-v-ts	1
z-b-R-d	1
z-d-R-d	1
tʃ-p-R-n-t	1
R-ʃ	1
s-R-b-n	1
s-R-dʒ-b	1
d-R-v-j	1
ɡ-lj	1
t-R-t-n	1
k-R-k-tʃ	1
tʃ-p-R-t	1
k-R-n-d	1
s-R-p-tʃ	1
R-z-l	1
d-R-t-l	1
b-R-ts	1
ɡ-R-m-n	1
