INITIALS	frequency
k	2741
VOW	2718
z	1989
l	1001
<<<<<<< HEAD
f	766
tʃ	762
s-t	708
ɡ	662
ʃ	651
t-r	581
ts	564
x	457
s-l	441
s-k	419
p-l	409
=======
>>>>>>> origin/master
k-r	384
s-v	384
j	372
ʒ	351
m	284
k-l	247
z-b	103
z-l	78
k-v	72
<<<<<<< HEAD
ts-v	68
f-l	62
s-p-l	62
s-k-l	61
m-r	60
z-ɡ	59
x-r	59
ʃ-p	55
=======
z-ɡ	59
>>>>>>> origin/master
z-d	48
dz-v	44
k-n	41
<<<<<<< HEAD
p-s	36
ʃ-t-r	35
v-k	33
v-t	32
ts-r	31
lj	30
ʃ-m	30
tʃ-k	29
=======
lj	30
>>>>>>> origin/master
dz	27
z-d-r	25
ʒ-d-r	23
z-ɡ-r	21
z-n	19
z-m	16
<<<<<<< HEAD
s-v-r	15
ʃ-k-r	15
s-m-r	15
p-lj	15
s-ts	15
s-f	14
dʒ-b	14
tʃ-k-r	13
s-t-v	13
z-ɡ-l	13
t-k	13
v-p	13
tʃ-l	12
z-v	12
dʒ-v	12
s-j	11
v-s	11
s-v-l	11
p-ts	10
x-l	10
ʃ-n	10
k-m	10
v-k-l	9
tʃ-p	9
p-n	9
v-ʒ	8
s-tʃ	8
v-dʒ	8
z-r	8
v-d-l	7
k-s	7
d-n	7
ʒ-l	7
s-k-v	7
ʒ-m	7
ʒ-n	6
ʃ-r	6
z-j	6
v-ts	6
z-b-r	6
ʃ-p-r	5
t-l	5
v-j	5
p-t	5
v-t-r	5
tʃ-v	5
k-lj	5
v-z	5
z-b-l	5
v-ɡ	5
v-m	5
dʒ-ɡ	4
ʒ-r	4
z-ɡ-n	4
v-p-r	4
b-d	4
ɡ-m	4
v-ʃ	4
ʃ-lj	4
v-lj	3
v-p-l	3
m-j	3
v-ɡ-l	3
s-m-l	3
ʒ-b	3
tʃ-m	3
v-ɡ-r	3
z-d-l	2
ʒ-ɡ	2
s-t-j	2
v-dz	2
ʒ-v	2
x-m	2
v-m-r	2
dʒ-ɡ-r	2
b-lj	2
v-b-r	2
v-t-v	1
v-ts-r	1
v-ʃ-p-r	1
z-ɡ-m	1
v-ʃ-m	1
t-m	1
f-j	1
nj	1
ʒ-d	1
v-x	1
ʒ-ɡ-r	1
ɡ-nj	1
v-b	1
v-ɟ	1
s-c	1
f-lj	1
v-ɡ-n	1
k-t	1
v-t-k	1
v-s-l	1
z-dʒ	1
ɡ-v	1
v-s-t-r	1
v-d-r	1
ɡ-lj	1
p-j	1
k-s-m	1
=======
z-ɡ-l	13
z-v	12
k-m	10
z-r	8
ʒ-m	7
ʒ-l	7
k-s	7
z-j	6
z-b-r	6
ʒ-n	6
z-b-l	5
k-lj	5
ʒ-r	4
z-ɡ-n	4
ʒ-b	3
ʒ-v	2
ʒ-ɡ	2
z-d-l	2
z-dʒ	1
k-s-m	1
ʒ-d	1
k-t	1
z-ɡ-m	1
ʒ-ɡ-r	1
>>>>>>> origin/master
z-ɟ	1
