WOS_nonsyllabic
брз
брл
брст
вкрст
врв
врз
врз
врк
врл
врст
грб
грд
Грк
грст
грч
дрт
ѝ
крв
крг
крз
крст
крт
крт
крш
мрк
мрс
прв
прст
прст
прт
прч
рж
рз
рп
рс
рт
с
скрб
смрт
срж
срп
срт
стрв
стрм
тврд
трк
трн
фрч
цврст
црв
црн
чкрт
шкрт
шмрк
штрб
штрк
