monosyllabic_INITIALS_place	frequency
D	271
BL	177
V	97
AP	77
LD	75
D-D	61
VOW	47
BL-D	45
D-A	42
A	42
V-A	41
P	39
BL-A	37
V-D	34
AP-D	32
D-BL	30
D-LD	28
D-D-A	21
LD-A	18
LD-D	16
D-V	15
AP-BL	10
V-LD	8
AP-V	7
AP-D-A	5
SYD	5
D-V-D	5
AP-A	5
D-V-A	4
LD-V	4
D-BL-D	4
D-BL-A	3
LD-AP	2
D-D-LD	2
V-BL	2
D-P	2
LD-P	1
D-LD-D	1
V-D-BL	1
D-LD-A	1
AP-LD	1
BL-P	1
AP-BL-A	1
D-V-LD	1
